CorOuRaca,Região,Total,Homem,Mulher, Ano
Total,Brasil,89.9,89.7,90.2, 2012
Total,Norte,83.5,83.1,83.9, 2012
Total,Nordeste,94.2,94.1,94.3, 2012
Total,Sudeste,91.3,90.4,92.3, 2012
Total,Sul,84.3,85.6,83.1, 2012
Total,Centro-Oeste,84.3,84.1,84.5, 2012
Branca,Brasil,90.1,89.3,90.8, 2012
Branca,Norte,83.8,83.6,84.1, 2012
Branca,Nordeste,95.0,95.7,94.4, 2012
Branca,Sudeste,91.6,89.2,94.2, 2012
Branca,Sul,84.4,86.2,82.6, 2012
Branca,Centro-Oeste,90.2,88.7,91.5, 2012
Preta ou parda,Brasil,89.8,89.9,89.7, 2012
Preta ou parda,Norte,83.4,82.9,83.9, 2012
Preta ou parda,Nordeste,93.9,93.6,94.3, 2012
Preta ou parda,Sudeste,90.8,91.5,90.0, 2012
Preta ou parda,Sul,84.0,83.4,84.6, 2012
Preta ou parda,Centro-Oeste,80.0,80.8,79.2, 2012

