CorOuRaca,Região,Total,Homem,Mulher, Ano 
Total,Brasil,93.2,93.5,93.0,2015
Total,Norte,90.0,90.0,90.0,2015
Total,Nordeste,95.7,96.4,95.1,2015
Total,Sudeste,94.2,95.1,93.3,2015
Total,Sul,89.5,88.8,90.4,2015
Total,Centro-Oeste,89.7,88.3,91.3,2015
Branca,Brasil,93.6,93.6,93.6,2015
Branca,Norte,94.0,92.2,95.5,2015
Branca,Nordeste,97.8,97.0,98.5,2015
Branca,Sudeste,94.9,96.4,93.5,2015
Branca,Sul,88.9,88.0,90.0,2015
Branca,Centro-Oeste,90.7,88.2,93.2,2015
Preta ou parda,Brasil,93.0,93.6,92.4,2015
Preta ou parda,Norte,89.4,89.7,89.1,2015
Preta ou parda,Nordeste,95.0,96.2,93.8,2015
Preta ou parda,Sudeste,93.7,94.3,93.0,2015
Preta ou parda,Sul,91.4,91.3,91.5,2015
Preta ou parda,Centro-Oeste,89.0,88.2,89.9,2015

