CorOuRaca,Região,Total,Homem,Mulher,Ano 
Total,Brasil,96.4,96.5,96.3,2018
Total,Norte,92.5,92.9,92.1,2018
Total,Nordeste,98.4,98.5,98.3,2018
Total,Sudeste,97.1,97.1,97.0,2018
Total,Sul,94.2,95.0,93.6,2018
Total,Centro-Oeste,94.5,93.6,95.4,2018
Branca,Brasil,96.6,96.9,96.4,2018
Branca,Norte,96.3,98.1,94.7,2018
Branca,Nordeste,98.8,99.4,98.3,2018
Branca,Sudeste,97.1,96.8,97.6,2018
Branca,Sul,94.6,95.9,93.4,2018
Branca,Centro-Oeste,94.0,93.9,94.2,2018
Preta ou parda,Brasil,96.3,96.3,96.3,2018
Preta ou parda,Norte,91.6,91.4,91.8,2018
Preta ou parda,Nordeste,98.2,98.1,98.3,2018
Preta ou parda,Sudeste,97.1,97.7,96.4,2018
Preta ou parda,Sul,93.4,92.5,94.1,2018
Preta ou parda,Centro-Oeste,94.7,93.3,96.0,2018

