CorOuRaca,Região,Total,Homem,Mulher,Ano
Total,Brasil,95.9,95.9,96.0,2022
Total,Norte,89.9,89.4,90.3,2022
Total,Nordeste,96.7,97.1,96.4,2022
Total,Sudeste,97.0,96.7,97.2,2022
Total,Sul,96.6,97.1,96.0,2022
Total,Centro-Oeste,95.2,94.8,95.6,2022
Branca,Brasil,96.3,96.7,95.8,2022
Branca,Norte,92.8,95.7,90.2,2022
Branca,Nordeste,95.9,96.6,95.1,2022
Branca,Sudeste,97.3,97.3,97.4,2022
Branca,Sul,96.0,97.1,94.8,2022
Branca,Centro-Oeste,93.7,92.6,94.8,2022
Preta ou parda,Brasil,95.7,95.4,96.0,2022
Preta ou parda,Norte,89.2,88.1,90.3,2022
Preta ou parda,Nordeste,97.0,97.2,96.7,2022
Preta ou parda,Sudeste,96.6,96.1,97.1,2022
Preta ou parda,Sul,98.3,97.2,99.5,2022
Preta ou parda,Centro-Oeste,96.0,95.9,96.1,2022
