
Atividade, Total, Homem , Mulher, Ano 
Total,  7 211 ,  8 020 ,  5 760, 2012
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  4 314 ,  4 257 ,  5 062, 2012
"INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  7 265 ,  8 015 ,  5 170, 2012
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  6 017 ,  7 172 ,  4 465, 2012
CONSTRUÇÃO,  8 852 ,  9 465 ,  5 971, 2012
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  6 100 ,  6 939 ,  4 517, 2012
"TRANSPORTE, ARMAZENAGEM E CORREIO",  7 155 ,  8 086 ,  4 290, 2012
INFORMAÇÃO E COMUNICAÇÃO,  12 202 ,  13 262 ,  10 048, 2012
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  9 554 ,  11 780 ,  6 594, 2012
ATIVIDADES IMOBILIÁRIAS,  8 298 ,  8 917 ,  7 014, 2012
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  10 111 ,  11 163 ,  8 718, 2012
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  6 542 ,  7 195 ,  5 756, 2012
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 512 ,  7 050 ,  5 679, 2012
EDUCAÇÃO,  5 959 ,  6 644 ,  5 718, 2012
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  8 377 ,  11 353 ,  6 327, 2012
"ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  4 773 ,  4 497 ,  5 070 , 2012

