Atividade, Total, Homem , Mulher, Ano 
Total,  7 496 ,  8 566 ,  5 679, 2013
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  6 284 ,  6 024 ,  8 726,2013
"INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  7 255 ,  7 778 ,  5 811 ,2013
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  7 142 ,  8 964 ,  3 388 ,2013
CONSTRUÇÃO,  10 082 ,  11 171 ,  6 168 ,2013
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  5 873 ,  7 051 ,  4 062 ,2013
"TRANSPORTE, ARMAZENAGEM E CORREIO",  6 522 ,  7 261 ,  4 492 ,2013
INFORMAÇÃO E COMUNICAÇÃO,  11 567 ,  13 741 ,  7 633 ,2013
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  10 782 ,  12 922 ,  7 766 ,2013
ATIVIDADES IMOBILIÁRIAS,  9 550 ,  12 135 ,  5 566 ,2013
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  9 109 ,  11 592 ,  5 714 ,2013
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  8 345 ,  10 214 ,  5 263 ,2013
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  7 490 ,  7 682 ,  7 149 ,2013
EDUCAÇÃO,  5 825 ,  7 596 ,  5 325 ,2013
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  7 514 ,  7 671 ,  7 418 ,2013
"ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  4 885 ,  5 817 ,  3 932 ,2013
