Atividade, Total, Homem, Mulher, Ano
Total,  7 518 ,  8 438 ,  6 030, 2017
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  5 434 ,  5 555 ,  4 459 , 2017
"INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  8 128 ,  8 346 ,  7 647 , 2017
" ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  8 064 ,  8 627 ,  5 347 , 2017
CONSTRUÇÃO,  9 406 ,  10 475 ,  5 160 , 2017
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  5 591 ,  5 928 ,  5 118 , 2017
"TRANSPORTE, ARMAZENAGEM E CORREIO",  7 203 ,  8 112 ,  4 457 , 2017
INFORMAÇÃO E COMUNICAÇÃO,  11 737 ,  14 084 ,  7 094 , 2017
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  9 991 ,  12 756 ,  6 790 , 2017
ATIVIDADES IMOBILIÁRIAS,  11 911 ,  14 384 ,  6 638 , 2017
" ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  8 855 ,  9 407 ,  8 083 , 2017
 ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  6 858 ,  8 359 ,  3 851 , 2017
" ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 119 ,  6 733 ,  5 093 , 2017
EDUCAÇÃO,  6 043 ,  7 622 ,  5 200 , 2017
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  6 591 ,  7 292 ,  6 186 , 2017
"ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  4 939 ,  5 166 ,  4 673 , 2017

