Atividade, Total, Homem , Mulher, Ano
Total,  7 679 ,  8 378 ,  6 600, 2022
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  4 656 ,  4 456 ,  5 733 , 2022
"INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  7 578 ,  8 103 ,  6 411 , 2022
" ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  6 462 ,  6 345 ,  6 944 , 2022
CONSTRUÇÃO,  9 121 ,  10 026 ,  6 593 , 2022
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  5 982 ,  6 007 ,  5 936 , 2022
" TRANSPORTE, ARMAZENAGEM E CORREIO",  9 352 ,  10 419 ,  5 333 , 2022
INFORMAÇÃO E COMUNICAÇÃO,  11 176 ,  11 204 ,  11 111 , 2022
" ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  9 398 ,  11 182 ,  7 486 , 2022
ATIVIDADES IMOBILIÁRIAS,  8 470 ,  10 202 ,  6 377 , 2022
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  7 548 ,  8 718 ,  6 547 , 2022
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  9 634 ,  9 385 ,  10 086 , 2022
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 654 ,  7 030 ,  5 963 , 2022
EDUCAÇÃO,  6 106 ,  7 145 ,  5 647 , 2022
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  6 231 ,  8 564 ,  5 213 , 2022
" ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  5 468 ,  5 534 ,  5 358 , 2022

