Atividade, Total,Homem,Mulher,Ano 
Total,  7.211 ,  8.020 ,  5.760, 2012
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  4 314 ,  4 257 ,  5 062, 2012
"INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  7 265 ,  8 015 ,  5 170, 2012
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  6 017 ,  7 172 ,  4 465, 2012
CONSTRUÇÃO,  8 852 ,  9 465 ,  5 971, 2012
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  6 100 ,  6 939 ,  4 517, 2012
"TRANSPORTE, ARMAZENAGEM E CORREIO",  7 155 ,  8 086 ,  4 290, 2012
INFORMAÇÃO E COMUNICAÇÃO,  12 202 ,  13 262 ,  10 048, 2012
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  9 554 ,  11 780 ,  6 594, 2012
ATIVIDADES IMOBILIÁRIAS,  8 298 ,  8 917 ,  7 014, 2012
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  10 111 ,  11 163 ,  8 718, 2012
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  6 542 ,  7 195 ,  5 756, 2012
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 512 ,  7 050 ,  5 679, 2012
EDUCAÇÃO,  5 959 ,  6 644 ,  5 718, 2012
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  8 377 ,  11 353 ,  6 327, 2012
"ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  4 773 ,  4 497 ,  5 070 , 2012
Total,  7 496 ,  8 566 ,  5 679, 2013
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  6 284 ,  6 024 ,  8 726,2013
"INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  7 255 ,  7 778 ,  5 811 ,2013
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  7 142 ,  8 964 ,  3 388 ,2013
CONSTRUÇÃO,  10 082 ,  11 171 ,  6 168 ,2013
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  5 873 ,  7 051 ,  4 062 ,2013
"TRANSPORTE, ARMAZENAGEM E CORREIO",  6 522 ,  7 261 ,  4 492 ,2013
INFORMAÇÃO E COMUNICAÇÃO,  11 567 ,  13 741 ,  7 633 ,2013
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  10 782 ,  12 922 ,  7 766 ,2013
ATIVIDADES IMOBILIÁRIAS,  9 550 ,  12 135 ,  5 566 ,2013
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  9 109 ,  11 592 ,  5 714 ,2013
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  8 345 ,  10 214 ,  5 263 ,2013
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  7 490 ,  7 682 ,  7 149 ,2013
EDUCAÇÃO,  5 825 ,  7 596 ,  5 325 ,2013
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  7 514 ,  7 671 ,  7 418 ,2013
"ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  4 885 ,  5 817 ,  3 932 ,2013
Total,  7 364 ,  8 280 ,  5 709,2014
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  7 349 ,  7 025 ,  10 911 ,2014
"INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  7 462 ,  8 168 ,  5 658 ,2014
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  8 170 ,  8 859 ,  5 123 ,2014
CONSTRUÇÃO,  8 695 ,  9 105 ,  6 349 ,2014
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  6 080 ,  7 052 ,  4 146 ,2014
"TRANSPORTE, ARMAZENAGEM E CORREIO",  7 254 ,  7 459 ,  6 761 ,2014
INFORMAÇÃO E COMUNICAÇÃO,  10 422 ,  11 572 ,  8 077 ,2014
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  8 885 ,  10 152 ,  7 342 ,2014
ATIVIDADES IMOBILIÁRIAS,  9 430 ,  12 189 ,  4 925 ,2014
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  9 474 ,  12 052 ,  6 493 ,2014
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  6 717 ,  8 442 ,  4 528 ,2014
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  7 025 ,  7 472 ,  6 248 ,2014
