Sexo, Ano, Local,"Valor"
Total,2016,Brasil,"4,4"
Total,2016,Norte,"6,3"
Total,2016,Nordeste,"4,5"
Total,2016,Sudeste,"3,9"
Total,2016,Sul,"4,5"
Total,2016,Centro-Oeste,"5,6"
Total,2016,Rondônia,"6,6"
Total,2016,Acre,"10,5"
Total,2016,Amazonas,"7,5"
Total,2016,Roraima,"8,4"
Total,2016,Pará,"5,4"
Total,2016,Amapá,"6,7"
Total,2016,Tocantins,"5,0"
Total,2016,Maranhão,"4,1"
Total,2016,Piauí,"4,8"
Total,2016,Ceará,"4,3"
Total,2016,Rio Grande do Norte,"4,5"
Total,2016,Paraíba,"5,0"
Total,2016,Pernambuco,"3,6"
Total,2016,Alagoas,"4,8"
Total,2016,Sergipe,"4,1"
Total,2016,Bahia,"5,2"
Total,2016,Minas Gerais,"4,5"
Total,2016,Espírito Santo,"4,2"
Total,2016,Rio de Janeiro,"3,2"
Total,2016,São Paulo,"""3,9"
Total,2016,Paraná,"4,1"
"Total","2016","Santa Catarina","4,4"
"Total","2016","Rio Grande do Sul","4,9"
"Total","2016","Mato Grosso do Sul","6,0"
"Total","2016","Mato Grosso","5,9"
"Total","2016","Goiás","4,8"
"Total","2016","Distrito Federal","6,8"
"Total","2016","Porto Velho (RO)","10,5"
"Total","2016","Rio Branco (AC)","10,8"
"Total","2016","Manaus (AM)","8,9"
"Total","2016","Boa Vista (RR)","9,1"
"Total","2016","Belém (PA)","6,4"
"Total","2016","Macapá (AP)","7,7"
"Total","2016","Palmas (TO)","8,7"
"Total","2016","São Luís (MA)","6,6"
"Total","2016","Teresina (PI)","6,3"
"Total","2016","Fortaleza (CE)","6,2"
"Total","2016","Natal (RN)","5,2"
"Total","2016","João Pessoa (PB)","7,1"
"Total","2016","Recife (PE)","5,7"
"Total","2016","Maceió (AL)","5,3"
"Total","2016","Aracaju (SE)","5,5"
"Total","2016","Salvador (BA)","8,3"
"Total","2016","Belo Horizonte (MG)","7,4"
"Total","2016","Vitória (ES)","6,2"
"Total","2016","Rio de Janeiro (RJ)","3,2"
"Total","2016","São Paulo (SP)","4,7"
"Total","2016","Curitiba (PR)","5,9"
"Total","2016","Florianópolis (SC)","7,6"
"Total","2016","Porto Alegre (RS)","8,5"
"Total","2016","Campo Grande (MS)","7,1"
"Total","2016","Cuiabá (MT)","8,3"
"Total","2016","Goiânia (GO)","6,4"
"Total","2016","Brasília (DF)","6,8"
"Total","2016","Manaus (AM)","8,5"
"Total","2016","Belém (PA)","6,7"
"Total","2016","Macapá (AP)","7,5"
"Total","2016","Grande São Luís (MA)","5,8"
"Total","2016","Fortaleza (CE)","5,4"
"Total","2016","Natal (RN)","5,0"
"Total","2016","João Pessoa (PB)","5,9"
"Total","2016","Recife (PE)","4,0"
"Total","2016","Maceió (AL)","5,0"
"Total","2016","Aracaju (SE)","5,9"
"Total","2016","Salvador (BA)","7,6"
"Total","2016","Belo Horizonte (MG)","6,1"
"Total","2016","Grande Vitória (ES)","5,4"
"Total","2016","Rio de Janeiro (RJ)","3,1"
"Total","2016","São Paulo (SP)","4,5"
"Total","2016","Curitiba (PR)","4,8"
"Total","2016","Florianópolis (SC)","6,5"
"Total","2016","Porto Alegre (RS)","5,9"
"Total","2016","Vale do Rio Cuiabá (MT)","7,1"
"Total","2016","Goiânia (GO)","5,4"
"Total","2016","Grande Teresina","6,0"
"Total","2017","Brasil","4,5"
"Total","2017","Norte","6,1"
"Total","2017","Nordeste","4,5"
"Total","2017","Sudeste","4,0"
"Total","2017","Sul","4,7"
"Total","2017","Centro-Oeste","5,5"
"Total","2017","Rondônia","5,1"
"Total","2017","Acre","8,3"
"Total","2017","Amazonas","6,9"
"Total","2017","Roraima","8,1"
"Total","2017","Pará","5,6"
"Total","2017","Amapá","8,5"
"Total","2017","Tocantins","5,0"
"Total","2017","Maranhão","4,2"
"Total","2017","Piauí","5,1"
"Total","2017","Ceará","4,4"
"Total","2017","Rio Grande do Norte","4,6"
"Total","2017","Paraíba","5,3"
"Total","2017","Pernambuco","3,5"
"Total","2017","Alagoas","4,6"
"Total","2017","Sergipe","4,9"
"Total","2017","Bahia","4,7"
"Total","2017","Minas Gerais","4,3"
"Total","2017","Espírito Santo","4,4"
"Total","2017","Rio de Janeiro","3,6"
"Total","2017","São Paulo","4,0"
"Total","2017","Paraná","4,8"
"Total","2017","Santa Catarina","4,7"
"Total","2017","Rio Grande do Sul","4,7"
"Total","2017","Mato Grosso do Sul","5,8"
"Total","2017","Mato Grosso","6,4"
"Total","2017","Goiás","4,5"
"Total","2017","Distrito Federal","6,4"
"Total","2017","Porto Velho (RO)","8,4"
"Total","2017","Rio Branco (AC)","10,4"
"Total","2017","Manaus (AM)","8,0"
"Total","2017","Boa Vista (RR)","9,4"
"Total","2017","Belém (PA)","6,7"
"Total","2017","Macapá (AP)","9,9"
"Total","2017","Palmas (TO)","10,3"
"Total","2017","São Luís (MA)","5,6"
"Total","2017","Teresina (PI)","7,0"
"Total","2017","Fortaleza (CE)","5,6"
"Total","2017","Natal (RN)","6,6"
"Total","2017","João Pessoa (PB)","8,6"
"Total","2017","Recife (PE)","6,6"
"Total","2017","Maceió (AL)","5,1"
"Total","2017","Aracaju (SE)","8,0"
"Total","2017","Salvador (BA)","7,5"
"Total","2017","Belo Horizonte (MG)","6,9"
"Total","2017","Vitória (ES)","8,0"
"Total","2017","Rio de Janeiro (RJ)","4,3"
"Total","2017","São Paulo (SP)","5,0"
"Total","2017","Curitiba (PR)","7,3"
"Total","2017","Florianópolis (SC)","8,3"
"Total","2017","Porto Alegre (RS)","8,6"
"Total","2017","Campo Grande (MS)","7,8"
"Total","2017","Cuiabá (MT)","8,6"
"Total","2017","Goiânia (GO)","7,2"
"Total","2017","Brasília (DF)","6,4"
"Total","2017","Manaus (AM)","7,8"
"Total","2017","Belém (PA)","7,2"
"Total","2017","Macapá (AP)","9,7"
"Total","2017","Grande São Luís (MA)","5,3"
"Total","2017","Fortaleza (CE)","5,3"
"Total","2017","Natal (RN)","6,1"
"Total","2017","João Pessoa (PB)","7,4"
"Total","2017","Recife (PE)","4,7"
"Total","2017","Maceió (AL)","4,6"
"Total","2017","Aracaju (SE)","6,9"
"Total","2017","Salvador (BA)","6,6"
"Total","2017","Belo Horizonte (MG)","6,1"
"Total","2017","Grande Vitória (ES)","5,6"
"Total","2017","Rio de Janeiro (RJ)","3,7"
"Total","2017","São Paulo (SP)","4,4"
"Total","2017","Curitiba (PR)","5,6"
"Total","2017","Florianópolis (SC)","7,9"
"Total","2017","Porto Alegre (RS)","5,7"
"Total","2017","Vale do Rio Cuiabá (MT)","7,5"
"Total","2017","Goiânia (GO)","5,9"
"Total","2017","Grande Teresina","7,0"
"Total","2018","Brasil","4,9"
"Total","2018","Norte","5,9"
"Total","2018","Nordeste","4,9"
"Total","2018","Sudeste","4,5"
